,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Demolition,350,322,331,396,435,365,329,402,327,385,320,270,"rgba(255,99,132,1)"
1,Building,8861,8515,11221,11435,12306,12720,11147,11772,10236,10388,8416,8181,"rgba(54, 162, 235, 1)"
