,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Pool/Spa,0,0,1,0,0,0,0,0,0,0,0,0,"rgba(255,99,132,1)"
1,Other,0,0,5,1,0,0,0,0,0,0,0,1,"rgba(54, 162, 235, 1)"
2,Mechanical,0,0,7,0,3,0,4,2,0,0,0,0,"rgba(255, 206, 86, 1)"
3,Building,0,0,1,0,7,0,0,0,0,0,0,0,"rgba(75, 192, 192, 1)"
4,Electrical,0,1,30,0,9,1,0,2,1,0,0,0,"rgba(153, 102, 255, 1)"
5,Plumbing,0,0,8,0,1,0,3,0,0,0,0,0,"rgba(255, 159, 64, 1)"
