,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Building,5217,7855,8012,7658,8921,8755,8714,8546,6355,4707,5258,5785,6125,6825,6500,7609,7755,4145,"rgba(255,99,132,1)","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], 'year']"
1,Demolition,129,150,149,210,196,223,304,378,256,135,129,250,196,229,224,407,408,239,"rgba(54, 162, 235, 1)","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], 'year']"
