,business_dba,business_type,location_1,location_1_location,latitude,longitude
539,MARTIN CITY PIZZA & TAP,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.59012, 38.882598]}",410 E 135TH STREET 64145-,38.882598,-94.59012
540,ANNA'S OVEN,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.606211, 39.057279]}",1809 W 39TH STREET 64111-,39.057279,-94.606211
541,WALGREENS #4222,PACKAGE,"{'type': 'Point', 'coordinates': [-94.518959, 39.105237]}",5400 INDEPENDENCE 64123-,39.105237,-94.518959
542,"RIVER CLUB, THE",TAVERN,"{'type': 'Point', 'coordinates': [-94.591183, 39.104783]}",611 W 8TH STREET 64105,39.104783,-94.591183
543,QUIK TRIP #159,PACKAGE,"{'type': 'Point', 'coordinates': [-94.452061, 39.267758]}",10150 NE COOKINGHAM ROAD 64157-6220,39.267758,-94.452061
544,BRGR KITCHEN & BAR,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.583072, 39.097212]}",11 14TH STREET 64106-,39.097212,-94.583072
545,CVS/PHARMACY #8592,PACKAGE,"{'type': 'Point', 'coordinates': [-94.583035, 39.102502]}",921 MAIN 64105-,39.102502,-94.583035
546,HIGHLAND GAMES INC,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.570822, 39.281912]}",10351 N CHERRY DRIVE 64155-,39.281912,-94.570822
547,SPEEDY CASH 1,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.586002, 39.054837]}",3947 MAIN STREET 64111-,39.054837,-94.586002
548,BULLDOG BAR & GRILLE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.583485, 39.093019]}",1715 MAIN STREET 64108-,39.093019,-94.583485
550,LA CUCINA di MAMMA/BELLA NAPOLI,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.591138, 39.014732]}",6227-6229 BROOKSIDE BLVD 64113-,39.014732,-94.591138
551,BRASS RAIL BILLARD HALL,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.522219, 39.240729]}",4940 NE 81ST STREET 64119-,39.240729,-94.522219
552,COACH'S,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.596884, 38.941617]}",414-422 103RD STREET 64114,38.941617,-94.596884
553,QUIXOTIC PERFORMANCE FUSION,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.577586, 39.074483]}",2820 CHERRY STREET 64108-,39.074483,-94.577586
554,DAS HAUS,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.578895, 39.071224]}",3044 GILLHAM ROAD 64108-,39.071224,-94.578895
555,EL PATRON COCINA,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.603182, 39.075388]}",2905 SOUTHWEST BLVD 64108-,39.075388,-94.603182
556,TWIN CITY TAVERN,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.607022, 39.05021]}",1815 W WESTPORT ROAD 64111,39.05021,-94.607022
557,CROWN LIMO,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.599925, 39.077482]}",2736 MERCIER STREET 64108-,39.077482,-94.599925
558,MACALUSO'S THRIFTWAY,PACKAGE,"{'type': 'Point', 'coordinates': [-94.521319, 39.167047]}",5004 NE PARVIN ROAD 64117,39.167047,-94.521319
559,ADAM PUCHTA & SON WINERY,WHOLESALER,"{'type': 'Point', 'coordinates': [-91.467296, 38.664901]}",1947 FRENE CREEK ROAD 65041-,38.664901,-91.467296
560,AMERICAN CASH ADVANCE 7,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.586105, 39.055889]}",3921 MAIN STREET 64111-,39.055889,-94.586105
562,HOLIDAY INN KCI AIRPORT,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.682151, 39.305748]}",11728 AMBASSADOR DRIVE 64153-,39.305748,-94.682151
563,DRURY INN & SUITES KANSAS CITY STADIUM,TAVERN,"{'type': 'Point', 'coordinates': [-94.481751, 39.016538]}",3830 BLUE RIDGE CUTOFF 64133-,39.016538,-94.481751
564,PREMIER  MAZDA,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.602643, 38.875393]}",13900 WASHINGTON 64145-,38.875393,-94.602643
565,MICHAEL SMITH / EXTRA VIRGIN,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.583696, 39.090173]}",1900 MAIN STREET 64108-,39.090173,-94.583696
566,MADRID EVENTS,TAVERN,"{'type': 'Point', 'coordinates': [-94.586046, 39.058093]}",3810 MAIN STREET 64111-,39.058093,-94.586046
567,HERRERA'S TENDERLOIN GRILL,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.594824, 39.084176]}",900 SOUTHWEST BLVD 64108-,39.084176,-94.594824
568,FUZZY'S TACO SHOP,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.596485, 38.943875]}",10157 WORNALL ROAD 64114-,38.943875,-94.596485
569,WAFFLE HOUSE  #1171,AMUSEMENT DEVICE EXHIBITOR,"{'type': 'Point', 'coordinates': [-94.495324, 39.168313]}",7401 NE PARVIN ROAD 64117-,39.168313,-94.495324
571,GAS-MART USA  #115,PACKAGE,"{'type': 'Point', 'coordinates': [-94.466891, 38.950623]}",9917 BANNISTER ROAD 64134-,38.950623,-94.466891
572,PARK PARADE STOP N SHOP,PACKAGE,"{'type': 'Point', 'coordinates': [-94.55588, 39.094918]}",2200 TRUMAN ROAD 64127,39.094918,-94.55588
573,"STACK BARBQ,THE",RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.595516, 38.966003]}",8920 WORNALL ROAD 64114-,38.966003,-94.595516
574,54TH STREET GRILL #1,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.663412, 39.25078]}",7200 NW 86TH TERRACE 64153-,39.25078,-94.663412
575,MANHEIM KANSAS CITY,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.484615, 39.165369]}",3901 N SKILES AVENUE 64161-,39.165369,-94.484615
576,BROOKSIDE AUTO RX,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.581109, 38.991788]}",632 75TH STREET 64131-,38.991788,-94.581109
577,ADVANCED SUBURBAN,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.66853, 38.983993]}",7133 W 80TH STREET 66204-,38.983993,-94.66853
578,KANSAS CITY MARRIOTT COUNTRY CLUB  PLAZA,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.586695, 39.046038]}",4445 MAIN 64111-,39.046038,-94.586695
579,RED LOBSTER #0605,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.585396, 39.246498]}",450 BARRY ROAD 64155-,39.246498,-94.585396
580,SHERATON SUITES COUNTRY CLUB PLAZA,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.595621, 39.042428]}",770 W 47TH STREET 64112-,39.042428,-94.595621
581,POCO'S LATIN CUISINE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.607233, 39.072477]}",3063 SOUTHWEST BLVD 64108-,39.072477,-94.607233
582,"PALACE AT THE PLAZA, THE",RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.593622, 39.041357]}",500 NICHOLS ROAD 64112,39.041357,-94.593622
583,KCI MEGA EXPRESS,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.421715, 39.035854]}",1004 E US 40 HIGHWAY 64055-,39.035854,-94.421715
584,CHARISSE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.581973, 39.10216]}",1006 WALNUT 64106-,39.10216,-94.581973
586,JOSE PEPPER'S.,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.598501, 39.168887]}",4125 N MULBERRY STREET 64116-,39.168887,-94.598501
588,BOTTLE'S PARTY SHOP,PACKAGE,"{'type': 'Point', 'coordinates': [-94.532618, 39.05478]}",4408 39TH STREET 64128-,39.05478,-94.532618
589,HEREFORD HOUSE ZONA ROSA,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.664651, 39.251222]}",8661 STODDARD AVENUE 64153,39.251222,-94.664651
590,MIKE'S CUT RATE LIQUORS,PACKAGE,"{'type': 'Point', 'coordinates': [-94.599939, 39.049908]}",1106 WESTPORT ROAD 64111,39.049908,-94.599939
591,YJ'S SNACK BAR,SIDEWALK CAFE,"{'type': 'Point', 'coordinates': [-94.585114, 39.091884]}",128 W 18TH STREET 64108-,39.091884,-94.585114
592,LEGS,TAVERN,"{'type': 'Point', 'coordinates': [-94.463801, 38.985662]}",13200 E US 350 HIGHWAY 64138-,38.985662,-94.463801
594,JULIA(N),RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.59024, 39.014571]}",6227 BROOKSIDE PLAZA 64113-,39.014571,-94.59024
595,AIRLINE HISTORY MUSEUM,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.60102499999999, 39.118683]}",201 NW LOU HOLLAND DRIVE 64116-,39.118683,-94.60102499999999
596,SAKI ASIAN RESTAURANT,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.640851, 39.210513]}",5225 NW 64TH STREET 64151-,39.210513,-94.640851
597,JESS AND JIM'S STEAKHOUSE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.589262, 38.882493]}",517 E 135TH STREET 64145,38.882493,-94.589262
598,RONALD MCDONALD HOUSE OF KANSAS CITY,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.577192, 39.081441]}",2502 CHERRY STREET 64108-,39.081441,-94.577192
599,BROADWAY CAFE,SIDEWALK CAFE,"{'type': 'Point', 'coordinates': [-94.590348, 39.053016]}",4106 BROADWAY 64111-,39.053016,-94.590348
600,ROBERT'S SUPERMARKET,PACKAGE,"{'type': 'Point', 'coordinates': [-94.529375, 39.094073]}",4511 E TRUMAN ROAD 64127-,39.094073,-94.529375
601,CATERED EVENT 7/12/2010,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.486274, 39.048755]}",1 ARROWHEAD DRIVE 64129-,39.048755,-94.486274
602,SHORT STOP,PACKAGE,"{'type': 'Point', 'coordinates': [-94.553775, 39.051982]}",4048 PROSPECT AVENUE 64130-,39.051982,-94.553775
603,GILHOULY'S,TAVERN,"{'type': 'Point', 'coordinates': [-94.605237, 39.057258]}",1721 39TH STREET 64111,39.057258,-94.605237
604,FAST STOP.,PACKAGE,"{'type': 'Point', 'coordinates': [-94.584131, 39.056464]}",131 39TH STREET 64111-,39.056464,-94.584131
605,RED BRIDGE MARKET,PACKAGE,"{'type': 'Point', 'coordinates': [-94.548162, 38.924463]}",3601 RED BRIDGE ROAD 64137-,38.924463,-94.548162
607,KCI CAR CARE CENTER,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.711266, 39.302028]}",426 PARIS STREET 64153-,39.302028,-94.711266
608,DAVID M.PAINE,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.533295, 39.068279]}",3125 SPRUCE 64128-,39.068279,-94.533295
609,EMBRACE THE GRAPE BEVERAGE CATERING,TAVERN,"{'type': 'Point', 'coordinates': [-94.592337, 39.041243]}",435 NICHOLS ROAD 64112-,39.041243,-94.592337
610,GAS-MART #7,PACKAGE,"{'type': 'Point', 'coordinates': [-94.475642, 39.048034]}",4111 BLUE RIDGE CUTOFF 64133,39.048034,-94.475642
611,MAMMA LEONES PIZZA,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.583923, 38.925911]}",650 E RED BRIDGE ROAD 64131-,38.925911,-94.583923
612,PRIORITY ONE,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.569417, 39.296391]}",11136 N CHARLOTTE 64155-,39.296391,-94.569417
613,TOWN TOPIC #2,AMUSEMENT DEVICE EXHIBITOR,"{'type': 'Point', 'coordinates': [-94.584806, 39.090742]}",1900 BALTIMORE 64108-,39.090742,-94.584806
614,FREEBIRDS WORLD BURRITO,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.592991, 39.052154]}",554 WESTPORT 64111-,39.052154,-94.592991
615,CAFE GRATITUDE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.588736, 39.087876]}",333 SOUTHWEST BLVD 64108-,39.087876,-94.588736
616,SHAMROCK LIQUORS,PACKAGE,"{'type': 'Point', 'coordinates': [-94.508455, 38.935944]}",10326 BLUE RIDGE BLVD 64134-,38.935944,-94.508455
617,XD-X,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.662559, 39.196728]}",5404 MEADOW LAKE 64152-,39.196728,-94.662559
618,MUTUAL MUSICIAN'S FOUNDATION,TAVERN,"{'type': 'Point', 'coordinates': [-94.562146, 39.090279]}",1823 HIGHLAND 64108-,39.090279,-94.562146
620,QUIK TRIP #178,PACKAGE,"{'type': 'Point', 'coordinates': [-94.607926, 38.934449]}",10601 STATE LINE ROAD 64114-,38.934449,-94.607926
621,RANDY REED BUICK-GMC,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.665763, 39.267728]}",9550 NW PRAIRIE VIEW ROAD 64153-,39.267728,-94.665763
622,COMMUNITY WHOLESALE TIRE OF KC,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.509226, 39.112151]}",6202 ST. JOHN 64123-,39.112151,-94.509226
623,CONKLIN FANGMAN KANSAS CITY,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.585386, 39.069533]}",3200 MAIN STREET 64111-,39.069533,-94.585386
624,EXPRESS STOP #3,PACKAGE,"{'type': 'Point', 'coordinates': [-94.509263, 39.112098]}",6201 ST JOHN AVENUE 64123-,39.112098,-94.509263
625,JASPER'S RESTAURANT,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.605743, 38.941943]}",1201 W 103RD STREET 64114,38.941943,-94.605743
626,SIDEPOCKETS NORTH,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.587994, 39.19577]}",600 NW ENGLEWOOD ROAD 64118,39.19577,-94.587994
627,CHECK N' GO #2731,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.505389, 38.956251]}",9262 BLUE RIDGE BLVD 64138-,38.956251,-94.505389
628,"RIEGER HOTEL GRILL AND EXCHANGE,THE",RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.583698, 39.090088]}",1920-1924 MAIN 64108-,39.090088,-94.583698
629,SAL'S AUTO REPAIR,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.533549, 39.069268]}",4210 E 31ST STREET 64128-,39.069268,-94.533549
630,KANSAS CITY STADIUM 18 THEATRE,AMUSEMENT DEVICE EXHIBITOR,"{'type': 'Point', 'coordinates': [-94.477261, 39.151011]}",3200 N AMERISTAR DRIVE 64161-,39.151011,-94.477261
632,GENGHIS KHAN MONGOLIAN GRILL,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.606144, 39.057103]}",3906 BELL AVENUE 64111,39.057103,-94.606144
634,LIPARI'S SUN FRESH,PACKAGE,"{'type': 'Point', 'coordinates': [-94.583603, 38.923096]}",11212 S HOLMES ROAD 64131,38.923096,-94.583603
635,RAIN,TAVERN,"{'type': 'Point', 'coordinates': [-94.576095, 38.982469]}",8015 TROOST AVENUE 64131,38.982469,-94.576095
636,VAN BRUNT MARKET,PACKAGE,"{'type': 'Point', 'coordinates': [-94.520245, 39.075749]}",2701 VAN BRUNT BLVD 64128,39.075749,-94.520245
637,TANNER'S,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.59376, 38.99322]}",7425-27 BROADWAY STREET 64114,38.99322,-94.59376
638,MICHAEL FORBES GRILLE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.589875, 39.013978]}",128 W 63RD STREET 64113-,39.013978,-94.589875
639,CASH AMERICA PAWN OF KANSAS CITY #2,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.533061, 39.093983]}",4205 TRUMAN ROAD 64127-,39.093983,-94.533061
640,132,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.599925, 39.077482]}",2736 MERCIER STREET 64108-0000,39.077482,-94.599925
641,MAMA TIO'S,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.566996, 38.981532]}",8026 PASEO BLVD 64131,38.981532,-94.566996
642,FLEMING #26,PACKAGE,"{'type': 'Point', 'coordinates': [-94.607972, 38.905165]}",12325 STATE LINE ROAD 64145-,38.905165,-94.607972
643,STREETCAR NAMED DESIRE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.581836, 39.082565]}",2450 GRAND AVENUE 64108,39.082565,-94.581836
644,HOMEWOOD SUITES KCI,TAVERN,"{'type': 'Point', 'coordinates': [-94.661596, 39.273512]}",7312 POLO DRIVE 64153,39.273512,-94.661596
645,GUSTO,TAVERN,"{'type': 'Point', 'coordinates': [-94.591722, 39.052746]}",504 WESTPORT ROAD 64111-,39.052746,-94.591722
646,WORLD OF SPIRITS 39TH STREET,PACKAGE,"{'type': 'Point', 'coordinates': [-94.605254, 39.057312]}",1722-1726 39TH STREET 64111-,39.057312,-94.605254
649,FIRESTONE COMPLETE AUTO CARE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.577272, 39.095554]}",501 TRUMAN ROAD 64106-,39.095554,-94.577272
650,CHINATOWN FOOD MARKET,PACKAGE,"{'type': 'Point', 'coordinates': [-94.581134, 39.110939]}",202 GRAND BLVD 64106-,39.110939,-94.581134
651,54TH STREET GRILL #2,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.578639, 39.195708]}",303 NE ENGLEWOOD ROAD 64118-,39.195708,-94.578639
653,EXECUTIVE HILLS TEXACO,PACKAGE,"{'type': 'Point', 'coordinates': [-94.666015, 39.271405]}",9700 N POLO AVENUE 64153,39.271405,-94.666015
654,MAC'S LOUNGE,TAVERN,"{'type': 'Point', 'coordinates': [-94.521507, 38.909828]}",11814-11816 BLUE RIDGE BLVD 64134-,38.909828,-94.521507
655,KANSAS CITY FAST STOP,PACKAGE,"{'type': 'Point', 'coordinates': [-94.579732, 38.991673]}",705 E 75TH STREET 64131-,38.991673,-94.579732
656,STALEY FARMS GOLF CLUB.,TAVERN,"{'type': 'Point', 'coordinates': [-94.54907, 39.282537]}",10310 N OLIVE STREET 64155-,39.282537,-94.54907
657,LUICHI'S,PACKAGE,"{'type': 'Point', 'coordinates': [-94.556586, 39.005082]}",6700 PROSPECT 64132-,39.005082,-94.556586
658,NORTHTOWNE LINCOLN MERCURY,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.580448, 39.181123]}",21 NE VIVION ROAD 64118-,39.181123,-94.580448
659,"TANK ROOM,THE",TAVERN,"{'type': 'Point', 'coordinates': [-94.581315, 39.091189]}",1813 GRAND 64108-,39.091189,-94.581315
660,TRICYCLE TRANSIT,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.588741, 39.086236]}",380 W 22nd STREET 64108-,39.086236,-94.588741
661,C & H AUTO PARTS - TIRE DEALER,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.491511, 39.093538]}",7604 TRUMAN ROAD 64126-,39.093538,-94.491511
662,PIERPONT'S AT UNION STATION,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.584265, 39.084138]}",30 W PERSHING ROAD 64108,39.084138,-94.584265
664,MARTIN CITY BREWING COMPANY,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.589729, 38.882577]}",500 E 135TH STREET 64145-,38.882577,-94.589729
665,JAY WOLFE ACURA,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.603861, 38.941843]}",1029 103RD STREET 64114-,38.941843,-94.603861
666,QUIK CASH 5,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.52505, 39.105448]}",4820 INDEPENDENCE AVENUE 64124-,39.105448,-94.52505
667,HENRY'S GARAGE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.520451, 39.034678]}",5410 BLUE PARKWAY 64130-,39.034678,-94.520451
668,TROOST MARKET,PACKAGE,"{'type': 'Point', 'coordinates': [-94.576085, 38.982738]}",8001 TROOST AVENUE 64131,38.982738,-94.576085
669,CHAZ ON THE PLAZA,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.591494, 39.039824]}",325 WARD PARKWAY 64112-,39.039824,-94.591494
671,FIRESTONE COMPLETE AUTO CARE  #4,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.601801, 38.882106]}",13620 WASHINGTON AVENUE 64145-,38.882106,-94.601801
672,SHAYAN E Z SHOP,PACKAGE,"{'type': 'Point', 'coordinates': [-94.567365, 38.972709]}",8505 WOODLAND AVENUE 64131,38.972709,-94.567365
673,COMPASS GROUP USA (ROCKHURST UNIVERSITY),RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.571317, 39.030429]}",5228 TRACY AVENUE 64110-,39.030429,-94.571317
674,HOLIDAY INN KANSAS CITY,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.472372, 39.052423]}",9103 39TH STREET 64133-,39.052423,-94.472372
675,GOODYEAR AUTO SERVICE CENTER  #4324,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.606722, 38.941993]}",1269 103RD STREET 64114-4512,38.941993,-94.606722
676,GODFATHER'S PIZZA -ANTIOCH,AMUSEMENT DEVICE EXHIBITOR,"{'type': 'Point', 'coordinates': [-94.548746, 39.192108]}",5402 NE ANTIOCH 64119-,39.192108,-94.548746
677,MAYSARA PETROL,PACKAGE,"{'type': 'Point', 'coordinates': [-94.681726, 39.297231]}",11200 AMBASSADOR DRIVE 64153-,39.297231,-94.681726
678,HENDRICK LEXUS NORTH,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.662596, 39.263411]}",9300 PRAIRIE VIEW ROAD 64153-,39.263411,-94.662596
679,CHEZ ELLE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.59333, 39.092792]}",1711-13 SUMMIT 64108-,39.092792,-94.59333
681,IRISH MUSEUM AND CULTURAL CENTER,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.587155, 39.039936]}",ONE WARD PARKWAY 64112-,39.039936,-94.587155
683,CASH AMERICA PAWN OF KC 2,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.533061, 39.093983]}",4205 E TRUMAN ROAD 64127-,39.093983,-94.533061
684,TROOSTWOOD GARAGE & BODY SHOP.,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.573815, 39.026479]}",5517 TROOST AVENUE 64110-,39.026479,-94.573815
685,BOYS & GIRLS CLUBS OF GREATER KC,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.576865, 39.013009]}",6301 ROCKHILL ROAD 64131-,39.013009,-94.576865
686,LE FOU FROG,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.578916, 39.109138]}",400 E 5TH STREET 64106,39.109138,-94.578916
687,"MELTING POT, THE",RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.592321, 39.040436]}",450 WARD PARKWAY 64112-,39.040436,-94.592321
688,OPERA HOUSE COFFEE AND FOOD EMPORIUM,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.581635, 39.108467]}",500 WALNUT 64106-,39.108467,-94.581635
689,RICHEY'S CLUB,TAVERN,"{'type': 'Point', 'coordinates': [-94.523693, 38.915457]}",11527 HICKMAN MILL DRIVE 64134-,38.915457,-94.523693
690,LON LANE'S INSPIRED OCCASIONS,CATERER - FULL SERVICE,"{'type': 'Point', 'coordinates': [-94.586115, 39.013393]}",6306 MORNINGSIDE DRIVE 64113-,39.013393,-94.586115
691,HENDRICK BUICK CADILLAC,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.604892, 38.940023]}",1151 104TH STREET 64114-,38.940023,-94.604892
693,SUPERIOR MINI MART #2.,PACKAGE,"{'type': 'Point', 'coordinates': [-94.517185, 39.112445]}",5522 ST. JOHN 64123-,39.112445,-94.517185
694,LEWS GRILL & BAR,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.594291, 38.99168]}",7539 WORNALL ROAD 64114,38.99168,-94.594291
695,OSTERIA IL CENTRO,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.587295, 39.034479]}",5101 MAIN STREET 64112-,39.034479,-94.587295
696,SMOKE BOX CAFE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.668886, 39.275701]}",10020 N AMBASSADOR 64153-,39.275701,-94.668886
698,ERNIE BIGGS DUELING PIANO BAR,TAVERN,"{'type': 'Point', 'coordinates': [-94.591653, 39.051618]}",4115 MILL STREET 64111-,39.051618,-94.591653
699,31ST TIRE REPAIR.,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.54752, 39.069708]}",3018 E 31ST 64128-,39.069708,-94.54752
700,"KANSAS CITY CLUB, THE",RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.584206, 39.102822]}",918 BALTIMORE AVENUE 64105,39.102822,-94.584206
701,SAND TRAP THE,TAVERN,"{'type': 'Point', 'coordinates': [-94.585911, 38.890685]}",13037 HOLMES ROAD 64145,38.890685,-94.585911
702,VINTEGRITY,WHOLESALER,"{'type': 'Point', 'coordinates': [-94.569541, 39.134043]}",919 14TH AVENUE 64116-,39.134043,-94.569541
703,SHADY LADY LOUNGE,TAVERN,"{'type': 'Point', 'coordinates': [-94.54908, 39.098778]}",2800 E 12TH STREET 64127,39.098778,-94.54908
705,PERKINS WEST GREGORY,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.58939, 38.999438]}",2 W GREGORY 64114-,38.999438,-94.58939
706,MAJOR BRANDS,WHOLESALER,"{'type': 'Point', 'coordinates': [-94.574189, 39.13234]}",550 E. 13TH AVENUE 64116-,39.13234,-94.574189
707,PHO HOA NOODLE SOUP,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.562672, 39.106703]}",1447 INDEPENDENCE AVENUE 64106-,39.106703,-94.562672
708,SPIN NEAPOLITAN PIZZA,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.587256, 39.036973]}",4950 MAIN STREET 64112-,39.036973,-94.587256
709,GREEN DUCK LOUNGE,TAVERN,"{'type': 'Point', 'coordinates': [-94.552416, 39.079103]}",2548 PROSPECT AVENUE 64127,39.079103,-94.552416
710,CHARLIE HOOPERS,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.587809, 39.013868]}",12 63RD STREET 64113-,39.013868,-94.587809
711,RESIDENCE INN KANSAS CITY  UNION HILL,TAVERN,"{'type': 'Point', 'coordinates': [-94.585215, 39.073138]}",2975 MAIN STREET 64108,39.073138,-94.585215
713,THAI PLACE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.590585, 39.0517]}",4130 PENNSYLVANIA AVENUE 64111,39.0517,-94.590585
714,"DRUNKEN FISH,THE",RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.583046, 39.097265]}",14 14TH STREET 64106-,39.097265,-94.583046
715,TOWER TAVERN,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.579682, 39.070783]}",401 E 31ST STREET 64108-,39.070783,-94.579682
716,BORDER STAR PEDICAB,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.592996, 39.085185]}",703 SOUTHWEST BLVD 64108-,39.085185,-94.592996
718,C-STORE 3,PACKAGE,"{'type': 'Point', 'coordinates': [-94.625971, 39.246433]}",3921 BARRY ROAD 64154-,39.246433,-94.625971
719,PKD FOUNDATION,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.606885, 38.976842]}",8330 WARD PARKWAY 64114-,38.976842,-94.606885
