,business_dba,business_type,location_1,location_1_location,latitude,longitude
414,BLANC BURGERS & BOTTLES,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.590856, 39.052061]}",4120 PENNSYLVANIA AVENUE 64111-,39.052061,-94.590856
415,APPELLATIONS,WHOLESALER,"{'type': 'Point', 'coordinates': [-90.410015, 38.698882]}",2314 MILLPARK DRIVE 63043-,38.698882,-90.410015
416,TITLEMAX 3,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.575873, 38.986527]}",7741 TROOST AVENUE 64131-,38.986527,-94.575873
417,INTERNATIONAL REALTIONS COUNCIL,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.583046, 39.102822]}",911 MAIN 64105-,39.102822,-94.583046
418,PJ'S PALACE,TAVERN,"{'type': 'Point', 'coordinates': [-94.554718, 39.033955]}",8512 PROSPECT AVENUE 64130-,39.033955,-94.554718
419,D & C AUTO SALVAGE,SALVAGE YARD,"{'type': 'Point', 'coordinates': [-94.531745, 39.097127]}",4312 E 13TH STREET 64127-,39.097127,-94.531745
420,BLVD NIGHTS,TAVERN,"{'type': 'Point', 'coordinates': [-94.601455, 39.077211]}",2801-2805 SOUTHWEST BLVD 64108-,39.077211,-94.601455
421,TOMS TOWNCAR SERVICE OF KANSAS CITY,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.46091, 39.059178]}",9924 E. 35TH STREET S. 64052-1172,39.059178,-94.46091
422,SIDEKICKS,TAVERN,"{'type': 'Point', 'coordinates': [-94.58586, 39.059889]}",3707 MAIN STREET 64111,39.059889,-94.58586
423,HOUSTONS,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.589676, 39.042966]}",4640 WORNALL ROAD 64112,39.042966,-94.589676
424,NICK & NINO'S PUB,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.669014, 39.27585]}",10022 NW AMBASSADOR DRIVE 64153-,39.27585,-94.669014
425,CHASE SUITE HOTEL-KANSAS CITY,TAVERN,"{'type': 'Point', 'coordinates': [-94.671836, 39.276022]}",9900 PRAIRIE VIEW ROAD 64153,39.276022,-94.671836
426,FAST STOP #5,PACKAGE,"{'type': 'Point', 'coordinates': [-94.549611, 38.973513]}",8431 HICKMAN MILLS DRIVE 64132,38.973513,-94.549611
427,BLARNEY STONE,TAVERN,"{'type': 'Point', 'coordinates': [-94.590588, 39.058473]}",3801 BROADWAY BLVD 64111,39.058473,-94.590588
428,FENTON NISSAN OF TIFFANY SPRINGS,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.665406, 39.267241]}",9600 PRAIRIE VIEW ROAD 64153-,39.267241,-94.665406
429,ANGEL'S ROCK BAR,TAVERN,"{'type': 'Point', 'coordinates': [-94.582133, 39.098271]}",1321 WALNUT 64106-,39.098271,-94.582133
430,HAMBURGER MARY'S KANSAS CITY,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.590546, 39.061102]}",3700 BROADWAY 64111-,39.061102,-94.590546
431,KANSAS CITY METROPOLITAN LUTHERAN MINSITRY,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.576486, 39.071379]}",3031 HOLMES 64109-,39.071379,-94.576486
432,YOU SAY TOMATO,SIDEWALK CAFE,"{'type': 'Point', 'coordinates': [-94.576305, 39.075318]}",2801 HOLMES STREET 64109-,39.075318,-94.576305
433,I PHO TOWER,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.590443, 39.061801]}",3623 BROADWAY 64111-,39.061801,-94.590443
434,CROWN CENTER APOTHECARY,PACKAGE,"{'type': 'Point', 'coordinates': [-94.581836, 39.082565]}",2450 GRAND AVENUE 64108,39.082565,-94.581836
435,TREAT AMERICA.,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.588646, 39.094569]}",1601 BROADWAY 64108-,39.094569,-94.588646
436,EAST SIDE COIN LAUNDRY,AMUSEMENT DEVICE EXHIBITOR,"{'type': 'Point', 'coordinates': [-94.508131, 39.093783]}",6245 TRUMAN ROAD 64126-,39.093783,-94.508131
437,FRIENDS OF LAKESIDE NATURE CENTER,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.532216, 38.99686]}",4701 E GREGORY 64132-,38.99686,-94.532216
438,TIFFANY ATHLETIC ZONE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.67473, 39.270164]}",8201 NW 97TH TERRACE 64153-,39.270164,-94.67473
439,WATTS MILL PRICE CHOPPER,PACKAGE,"{'type': 'Point', 'coordinates': [-94.605479, 38.941985]}",1030 W 103RD STREET 64114,38.941985,-94.605479
441,WESTPORT CAFE & BAR,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.590715, 39.05316]}",419 WESTPORT ROAD 64111-,39.05316,-94.590715
442,AMERISTAR CASINO KANSAS CITY,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.477261, 39.151011]}",3200 N AMERISTAR DRIVE 64161-,39.151011,-94.477261
443,"UNION OF WESTPORT, THE",TAVERN,"{'type': 'Point', 'coordinates': [-94.590692, 39.053171]}",415-421 WESTPORT ROAD 64111,39.053171,-94.590692
444,HARU SUSHI,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.607935, 38.889122]}",13133 STATE LINE ROAD 64145-,38.889122,-94.607935
445,HY-VEE GAS STATION #1261,PACKAGE,"{'type': 'Point', 'coordinates': [-94.414804, 39.035582]}",14170 US 40 HIGHWAY 64136-,39.035582,-94.414804
446,BONTERRA CATERING,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.582642, 39.119107]}",320 MCGEE STREET 64116-,39.119107,-94.582642
447,HENDRICK COLLISION CENTER OF KANSAS CITY,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.577805, 38.956294]}",9400 TROOST AVENUE 64131-,38.956294,-94.577805
448,VINO LEONARDO IMPORT,WHOLESALER,"{'type': 'Point', 'coordinates': [-94.486846, 39.081154]}",8201 23RD STREET 64129-,39.081154,-94.486846
449,VANDALS,TAVERN,"{'type': 'Point', 'coordinates': [-94.590606, 39.059682]}",3740 BROADWAY 64111-,39.059682,-94.590606
450,MIDLAND THEATRE / INDIE ON MAIN,TAVERN,"{'type': 'Point', 'coordinates': [-94.583366, 39.096084]}",1228 MAIN STREET 64106-,39.096084,-94.583366
452,TREAT AMERICA FOOD SERVICES,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.58423, 39.101237]}",1511 BALTIMORE AVENUE 64105-,39.101237,-94.58423
453,VISITATION CATHOLIC SCHOOL,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.588605, 39.033532]}",5134 BALTIMORE AVENUE 64112-,39.033532,-94.588605
454,UNITED TIRE & MUFFLER,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.507733, 38.95423]}",9340 BLUE RIDGE BLVD 64138-,38.95423,-94.507733
455,DRURY INN & SUITES KANSAS CITY AIRPORT,TAVERN,"{'type': 'Point', 'coordinates': [-94.671232, 39.272785999999996]}",7900 TIFFANY SPRINGS PARKWAY 64153-,39.272785999999996,-94.671232
456,CARE FREE AUTO REPAIR,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.521396, 39.176611]}",4530 BRIGHTON AVENUE 64117-,39.176611,-94.521396
457,RIOT ROOM THE,TAVERN,"{'type': 'Point', 'coordinates': [-94.590902, 39.05385]}",4048 BROADWAY BLVD 64111-,39.05385,-94.590902
458,WINNWOOD SKATE CENTER,AMUSEMENT,"{'type': 'Point', 'coordinates': [-94.531686, 39.175731]}",4426 NE WINN ROAD 64117-,39.175731,-94.531686
459,LANGLEY RECYCLING,SECONDARY METAL RECYCLER,"{'type': 'Point', 'coordinates': [-94.513881, 39.059773]}",3557 STADIUM DRIVE 64129-,39.059773,-94.513881
460,FIRESTONE COMPLETE AUTO CARE #2,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.548836, 39.187911]}",5128 ANTIOCH ROAD 64119-,39.187911,-94.548836
461,GATES BAR-B-Q (3),RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.585346, 39.068989]}",3205 MAIN STREET 64111-,39.068989,-94.585346
463,ACE AUTO LLC,SALVAGE YARD,"{'type': 'Point', 'coordinates': [-94.493738, 39.065009]}",7300 US 40 HIGHWAY 64129-,39.065009,-94.493738
464,"FALCO'S TRUCK,AUTO SALVAGE",SALVAGE YARD,"{'type': 'Point', 'coordinates': [-94.529447, 39.094108]}",4532 TRUMAN ROAD 64127-,39.094108,-94.529447
465,PHOENIX JAZZ CLUB,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.586468, 39.10465]}",302 W 8TH 64105-,39.10465,-94.586468
466,BISTRO 303,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.589428, 39.053786]}",303 WESTPORT ROAD 64111,39.053786,-94.589428
467,TIRES PLUS 1,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.658846, 39.24212]}",8116 NW PRAIRIE VIEW ROAD 64151-,39.24212,-94.658846
468,MOLLE VW AUDI (SERVICE CENTER),TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.601233, 38.940714]}",10401 SUMMIT STREET 64114-,38.940714,-94.601233
