,category,freqCat,city,month
179,,,Baton Rouge,
180,,,Baton Rouge,
181,,,Baton Rouge,
182,,,Baton Rouge,
183,,,Baton Rouge,
184,,,Baton Rouge,
185,,,Baton Rouge,
186,,,Baton Rouge,
187,,,Baton Rouge,
188,,,Baton Rouge,
189,,,Miami,
190,,,Miami,
191,,,Miami,
192,,,Miami,
193,,,Miami,
194,,,Miami,
195,,,Miami,
196,,,Miami,
197,,,Miami,
198,,,Miami,
199,,,Miami,
200,,,Miami,
201,,,Miami,
202,,,Miami,
203,,,Miami,
204,,,Miami,
205,,,Miami,
206,,,Miami,
207,,,Washington DC,
208,,,Washington DC,
209,,,Washington DC,
210,,,Washington DC,
211,,,Washington DC,
212,,,Washington DC,
213,,,Washington DC,
214,,,Washington DC,
215,,,Washington DC,
216,,,Washington DC,
217,,,Washington DC,
218,,,Washington DC,
219,,,Washington DC,
220,,,Washington DC,
221,,,Washington DC,
222,,,Washington DC,
223,,,Washington DC,
224,,,Washington DC,
225,,,Washington DC,
226,,,Washington DC,
227,,,Washington DC,
228,,,Washington DC,
229,,,Washington DC,
230,,,Washington DC,
231,,,Washington DC,
232,,,Washington DC,
233,,,Washington DC,
234,,,Baton Rouge,
235,,,Baton Rouge,
236,,,Baton Rouge,
237,,,Baton Rouge,
238,,,Baton Rouge,
239,,,Baton Rouge,
240,,,Baton Rouge,
241,,,Baton Rouge,
242,,,Baton Rouge,
243,,,Baton Rouge,
244,,,Baton Rouge,
245,,,Baton Rouge,
246,,,Baton Rouge,
247,,,Baton Rouge,
248,,,Baton Rouge,
249,,,Baton Rouge,
250,,,Baton Rouge,
251,,,Baton Rouge,
252,,,Baton Rouge,
253,,,Baton Rouge,
254,,,Baton Rouge,
255,,,Baton Rouge,
256,,,Baton Rouge,
257,,,Baton Rouge,
258,,,Miami,
259,,,Miami,
260,,,Miami,
261,,,Miami,
262,,,Miami,
263,,,Miami,
264,,,Miami,
265,,,Miami,
266,,,Miami,
267,,,Miami,
268,,,Miami,
269,,,Miami,
270,,,Miami,
271,,,Miami,
272,,,Miami,
273,,,Miami,
274,,,Miami,
275,,,Miami,
276,,,Washington DC,
277,,,Washington DC,
278,,,Washington DC,
279,,,Washington DC,
280,,,Washington DC,
281,,,Washington DC,
282,,,Washington DC,
283,,,Washington DC,
284,,,Washington DC,
285,,,Washington DC,
286,,,Washington DC,
287,,,Washington DC,
288,,,Washington DC,
289,,,Washington DC,
290,,,Washington DC,
291,,,Washington DC,
292,,,Washington DC,
293,,,Washington DC,
294,,,Washington DC,
295,,,Washington DC,
296,,,Washington DC,
297,,,Washington DC,
298,,,Washington DC,
299,,,Washington DC,
300,,,Washington DC,
301,,,Washington DC,
302,,,Washington DC,
303,,,Baton Rouge,
304,,,Baton Rouge,
305,,,Baton Rouge,
306,,,Baton Rouge,
307,,,Baton Rouge,
308,,,Baton Rouge,
309,,,Baton Rouge,
310,,,Baton Rouge,
311,,,Baton Rouge,
312,,,Baton Rouge,
313,,,Baton Rouge,
314,,,Baton Rouge,
315,,,Baton Rouge,
316,,,Baton Rouge,
317,,,Baton Rouge,
318,,,Baton Rouge,
319,,,Baton Rouge,
320,,,Baton Rouge,
321,,,Baton Rouge,
322,,,Baton Rouge,
323,,,Baton Rouge,
324,,,Baton Rouge,
325,,,Baton Rouge,
326,,,Baton Rouge,
327,,,Miami,
328,,,Miami,
329,,,Miami,
330,,,Miami,
331,,,Miami,
332,,,Miami,
333,,,Miami,
334,,,Miami,
335,,,Miami,
336,,,Miami,
337,,,Miami,
338,,,Miami,
339,,,Miami,
340,,,Miami,
341,,,Miami,
342,,,Miami,
343,,,Miami,
344,,,Miami,
