,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,BUILDING,105,121,120,145,8,13,4,10,24,1,16,80,"rgba(255,99,132,1)"
1,ELECTRICAL,0,0,0,0,0,0,1,0,1,0,0,0,"rgba(54, 162, 235, 1)"
2,DEMOLITION,121,121,160,129,101,120,151,154,162,140,126,111,"rgba(255, 206, 86, 1)"
